data,hits,visitors
1130803/0001410578-12-000085/-index.htm,1,1
1582982/0001493152-17-003230/ex23-1.htm,1,1
1671181/0001671181-16-000002/primary_doc.xml,1,1
856343/0000091155-98-000085/.txt,1,1
26780/0001225208-10-008046/-index.htm,1,1
1007280/0001007280-99-000027/.txt,1,1
61004/0001193805-10-001023/e606770_ex.xml,1,1
1404901/9999999997-07-030757/-index.htm,1,1
773757/0001193125-17-044590/.txt,1,1
315852/0000950134-04-006618/d14506exv31w2.txt,1,1
807878/0001144204-15-057211/.txt,1,1
351998/0001231402-08-000004/.hdr.sgml,1,1
840573/0001144204-05-019064/.txt,1,1
885725/0001225208-09-005077/doc4.xml,1,1
850429/0000850429-10-000008/xslF345X03/edgar.xml,1,1
944075/0000944075-09-000004/xslF345X03/primary_doc.xml,1,1
1430602/0001193125-15-115806/-index.htm,1,1
1013240/0001013240-97-000005/.txt,1,1
72971/0001193125-04-194787/.txt,1,1
1082368/0000950144-99-006614/.txt,1,1
1027183/0001144204-15-017999/-index.htm,1,1
826644/0001193125-15-253156/.txt,1,1
1246413/0001209191-10-016893/doc4.xml,1,1
896159/0000913414-06-000086/.txt,1,1
1464151/0000919574-09-010303/.hdr.sgml,1,1
924394/0001145549-15-003831/.txt,1,1
1101215/0001101215-09-000040/xslF345X03/edgar.xml,1,1
1028760/0001193125-12-061247/.txt,1,1
763852/0001193125-13-277231/.txt,1,1
1060736/0001104659-12-009196/.txt,1,1
943656/0001003297-14-000399/.txt,1,1
799850/0001181431-06-016446/.txt,1,1
908311/0001179110-16-022291/xslF345X03/edgar.xml,1,1
356171/0001199660-08-000022/primary_doc.xml,1,1
1048702/0001582816-13-000057/.txt,1,1
729237/0000950152-98-003126/.txt,1,1
1055949/0000947871-17-000160/xslF345X03/ss31932_4.xml,1,1
836974/0000950131-99-003126/.txt,1,1
46080/0000046080-14-000045/.txt,1,1
1344963/0000930413-07-005367/-index.htm,1,1
1001039/0001001039-04-000011/-index.htm,1,1
1556266/0001213900-13-004150/-index.htm,1,1
1015650/0001145549-05-001607/h00043e6vk.htm,1,1
1593547/0001135428-16-001546/.txt,1,1
1089511/0001209191-17-000293/-index.htm,1,1
867374/0001181431-08-007849/xslF345X02/rrd194012.xml,1,1
1469510/0000000000-11-038260/.txt,1,1
1047092/0001209191-16-126325/doc4.xml,1,1
1425905/0001144204-10-030053/.txt,1,1
1264242/0000950136-05-007556/.txt,1,1
1017022/0001194636-05-000001/.hdr.sgml,1,1
1399968/9999999997-07-024440/-index.htm,1,1
1195933/0001195933-13-000039/.txt,1,1
811240/0001209191-14-048732/-index.htm,1,1
1174169/0001193125-09-232993/d6k.htm,1,1
914156/0001104659-14-019572/ufpt-20131231.xml,1,1
77449/0001104659-15-083662/a15-23024_1ex32d2.htm,1,1
1322843/0000073124-06-000031/.txt,1,1
1135152/0001225208-17-001258/-index.html,1,1
