hits,txAmount,averageTA,visitors,data
1,2861,2861.0,1,1130803/0001410578-12-000085/-index.htm
1,1692,1692.0,1,1582982/0001493152-17-003230/ex23-1.htm
1,5491,5491.0,1,1671181/0001671181-16-000002/primary_doc.xml
1,23412,23412.0,1,856343/0000091155-98-000085/.txt
1,2795,2795.0,1,26780/0001225208-10-008046/-index.htm
1,7742,7742.0,1,1007280/0001007280-99-000027/.txt
1,1550,1550.0,1,61004/0001193805-10-001023/e606770_ex.xml
1,2652,2652.0,1,1404901/9999999997-07-030757/-index.htm
1,67272,67272.0,1,773757/0001193125-17-044590/.txt
1,4403,4403.0,1,315852/0000950134-04-006618/d14506exv31w2.txt
1,4351,4351.0,1,807878/0001144204-15-057211/.txt
1,1063,1063.0,1,351998/0001231402-08-000004/.hdr.sgml
1,29668,29668.0,1,840573/0001144204-05-019064/.txt
1,1903,1903.0,1,885725/0001225208-09-005077/doc4.xml
1,3599,3599.0,1,850429/0000850429-10-000008/xslF345X03/edgar.xml
1,3618,3618.0,1,944075/0000944075-09-000004/xslF345X03/primary_doc.xml
1,660,660.0,1,1430602/0001193125-15-115806/-index.htm
1,133859,133859.0,1,1013240/0001013240-97-000005/.txt
1,182761,182761.0,1,72971/0001193125-04-194787/.txt
1,198503,198503.0,1,1082368/0000950144-99-006614/.txt
1,7517,7517.0,1,1027183/0001144204-15-017999/-index.htm
1,6074,6074.0,1,826644/0001193125-15-253156/.txt
1,1585,1585.0,1,1246413/0001209191-10-016893/doc4.xml
1,22555,22555.0,1,896159/0000913414-06-000086/.txt
1,1474,1474.0,1,1464151/0000919574-09-010303/.hdr.sgml
1,14649,14649.0,1,924394/0001145549-15-003831/.txt
1,4098,4098.0,1,1101215/0001101215-09-000040/xslF345X03/edgar.xml
1,83844,83844.0,1,1028760/0001193125-12-061247/.txt
1,151633,151633.0,1,763852/0001193125-13-277231/.txt
1,72458,72458.0,1,1060736/0001104659-12-009196/.txt
1,6575,6575.0,1,943656/0001003297-14-000399/.txt
1,5645,5645.0,1,799850/0001181431-06-016446/.txt
1,3656,3656.0,1,908311/0001179110-16-022291/xslF345X03/edgar.xml
1,1662,1662.0,1,356171/0001199660-08-000022/primary_doc.xml
1,16657,16657.0,1,1048702/0001582816-13-000057/.txt
1,348657,348657.0,1,729237/0000950152-98-003126/.txt
1,4485,4485.0,1,1055949/0000947871-17-000160/xslF345X03/ss31932_4.xml
1,74998,74998.0,1,836974/0000950131-99-003126/.txt
1,21102,21102.0,1,46080/0000046080-14-000045/.txt
1,6997,6997.0,1,1344963/0000930413-07-005367/-index.htm
1,2797,2797.0,1,1001039/0001001039-04-000011/-index.htm
1,6544,6544.0,1,1556266/0001213900-13-004150/-index.htm
1,3017,3017.0,1,1015650/0001145549-05-001607/h00043e6vk.htm
1,28080,28080.0,1,1593547/0001135428-16-001546/.txt
1,2895,2895.0,1,1089511/0001209191-17-000293/-index.htm
1,3588,3588.0,1,867374/0001181431-08-007849/xslF345X02/rrd194012.xml
1,41635,41635.0,1,1469510/0000000000-11-038260/.txt
1,4759,4759.0,1,1047092/0001209191-16-126325/doc4.xml
1,793472,793472.0,1,1425905/0001144204-10-030053/.txt
1,18663,18663.0,1,1264242/0000950136-05-007556/.txt
1,1166,1166.0,1,1017022/0001194636-05-000001/.hdr.sgml
1,2668,2668.0,1,1399968/9999999997-07-024440/-index.htm
1,2219,2219.0,1,1195933/0001195933-13-000039/.txt
1,7526,7526.0,1,811240/0001209191-14-048732/-index.htm
1,2496,2496.0,1,1174169/0001193125-09-232993/d6k.htm
1,1638207,1638207.0,1,914156/0001104659-14-019572/ufpt-20131231.xml
1,675,675.0,1,77449/0001104659-15-083662/a15-23024_1ex32d2.htm
1,8524,8524.0,1,1322843/0000073124-06-000031/.txt
1,2838,2838.0,1,1135152/0001225208-17-001258/-index.html
1,7532,7532.0,1,812348/0001246197-06-000023/.txt
1,1775,1775.0,1,51143/0001181431-09-038433/rrd250167.xml
1,9082,9082.0,1,861002/0000898733-97-000809/.txt
1,642,642.0,1,714530/0001127602-12-012463/.txt
1,1425455,1425455.0,1,1061114/0001047469-98-028982/.txt
1,1599,1599.0,1,723125/0000723125-09-000072/edgar.xml
1,5368,5368.0,1,1512499/0001140361-17-017937/.txt
1,2092,2092.0,1,906107/0001127602-09-016998/form4.xml
1,60524,60524.0,1,8868/0000008868-13-000019/a2058-k.htm
1,10489,10489.0,1,1044321/0001044321-12-000011/.txt
1,3673,3673.0,1,104889/0000104889-09-000006/xslF345X03/primary_doc.xml
1,7696,7696.0,1,1118037/0001104659-09-053460/a09-15695_11sc14d9a.htm
1,62464,62464.0,1,722575/0001035347-97-000112/.txt
1,3440,3440.0,1,1393934/0001144204-07-014556/v069379_ex3-1.htm
1,2976,2976.0,1,765207/0000765207-13-000038/R56.htm
1,94333,94333.0,1,890491/0001193125-12-285399/bks-20120428.xsd
1,513386,513386.0,1,860748/0000950131-97-004472/.txt
1,21667,21667.0,1,313927/0000313927-98-000008/.txt
1,8173,8173.0,1,1056278/0000950144-98-009076/.txt
1,3061,3061.0,1,1321710/0001437749-13-012866/R5.htm
1,7638,7638.0,1,1320615/0000930413-15-002989/.txt
1,24951,24951.0,1,1088200/0000897069-00-000553/.txt
1,315290,315290.0,1,805264/0000912057-02-031557/a2086927z10-q.htm
1,3370,3370.0,1,1137360/0001137360-09-000015/china.htm
1,40585,40585.0,1,888002/0000888002-97-000281/.txt
1,3658,3658.0,1,36104/0001225208-09-020688/xslF345X03/doc4.xml
1,6632,6632.0,1,1062231/0001062231-05-000128/exhibit32.htm
1,2229,2229.0,1,81238/0000766524-11-000020/.txt
1,8016,8016.0,1,1094348/0001209191-07-013207/.txt
1,3704,3704.0,1,798783/0001127602-09-013305/xslF345X03/form4.xml
1,3695,3695.0,1,1116521/0001047469-03-018411/a2111105zex-99_2.htm
1,81780,81780.0,1,1011659/0001157523-03-001095/.txt
1,3628,3628.0,1,1166274/0001144204-13-064976/v361472_4.xml
1,2815,2815.0,1,1193194/0000096638-07-000067/-index.htm
1,13638,13638.0,1,1364742/0001086364-13-001817/.txt
1,114367,114367.0,1,825313/0001104659-03-014519/.txt
1,3657,3657.0,1,1500604/0000950123-16-015189/-index.htm
1,20651,20651.0,1,895421/0000895421-98-000020/.txt
1,78918,78918.0,1,315213/0001193125-11-073945/ddef14a.htm
1,2837,2837.0,1,913015/0000950152-08-006728/-index.htm
1,449882,449882.0,1,355747/0000091155-99-000618/.txt
1,10897,10897.0,1,80255/0000080255-98-000103/.txt
1,643,643.0,1,865436/0000891092-04-004855/.txt
1,2874,2874.0,1,1036877/0000774467-99-000088/.txt
1,2782,2782.0,1,1307748/0001307748-07-000016/-index.htm
1,2977,2977.0,1,1492195/0001193125-14-323172/-index.htm
1,1759204,1759204.0,1,29644/0000897101-11-001630/dci-20110731.xml
1,10863,10863.0,1,923687/0000903423-98-000129/.txt
1,8143,8143.0,1,1243160/0001047122-07-000029/.txt
1,2816,2816.0,1,924717/0001037389-17-000144/-index.html
1,6147,6147.0,1,1398453/0001144204-14-067047/v393971_ex99-1.htm
1,3684,3684.0,1,1189582/0001361989-09-000044/xslF345X03/stevenson_ex.xml
1,6870,6870.0,1,1391266/0001391266-11-000003/-index.htm
1,2987,2987.0,1,1378718/0001104659-12-052767/-index.htm
1,7360,7360.0,1,914775/0001080084-99-000206/.txt
1,2788,2788.0,1,1009759/0001360757-09-000002/-index.htm
1,7575,7575.0,1,1057685/0000915775-98-000024/.txt
1,13501,13501.0,1,1069183/0001086364-14-001637/.txt
1,586155,586155.0,1,1074173/0000928385-98-002471/.txt
1,2776,2776.0,1,1275283/0001275283-09-000014/-index.htm
1,7219,7219.0,1,1346980/0001346980-14-000040/R23.htm
1,2812,2812.0,1,1410399/0001209191-17-019023/-index.html
1,43502,43502.0,1,1498382/0001165527-12-001302/.txt
1,4021,4021.0,1,1552963/0001181431-12-050806/xslF345X03/rrd356214.xml
1,6371,6371.0,1,714756/0001275287-05-004683/.txt
1,2770,2770.0,1,1643973/0001225208-17-004270/-index.html
1,3457,3457.0,1,1060326/0000950123-98-009576/.txt
1,82155,82155.0,1,725876/0000725876-15-000060/.txt
1,7746,7746.0,1,1639691/0000215457-16-004633/-index.htm
1,2863,2863.0,1,1198847/0001181431-07-031455/-index.htm
1,9459,9459.0,1,835768/0001179110-07-003473/.txt
1,1720,1720.0,1,717605/0001179110-09-001259/edgar.xml
1,140759,140759.0,1,1018710/0001104659-06-009043/.txt
1,8484,8484.0,1,769218/0001193125-08-239971/filename1.htm
1,17982,17982.0,1,1081400/0001145549-15-002740/.txt
1,583849,583849.0,1,886982/0001140361-17-017142/.txt
1,2861,2861.0,1,1182214/0000006885-07-000071/-index.htm
1,2961,2961.0,1,887359/0001209191-08-058759/-index.htm
1,315641,315641.0,1,825202/0000949377-12-000498/.txt
1,13575,13575.0,1,1175151/0001144204-14-048884/R16.htm
1,122098,122098.0,1,826644/0000950129-01-000146/.txt
1,21182,21182.0,1,1290999/0001104659-05-042977/.txt
1,729474,729474.0,1,1077241/0000950109-99-004215/.txt
1,13500,13500.0,1,1690820/0001193125-17-140723/.txt
1,746,746.0,1,1406982/0001193125-09-055381/R1.htm
1,7386,7386.0,1,23194/0001104659-03-001695/-index.htm
1,154439,154439.0,1,5103/0000950123-01-002219/.txt
1,668547,668547.0,1,770949/0001047469-03-008768/a2105067z10-k.htm
1,3597,3597.0,1,938257/0001209191-08-039867/xslF345X03/doc4.xml
1,223648,223648.0,1,771856/0001144204-15-016511/v404684_ex10-4.htm
1,1584,1584.0,1,1084750/0001354457-11-000087/primary_doc.xml
1,514648,514648.0,1,777001/0001047469-06-000974/.txt
1,30152,30152.0,1,1091459/0000740583-16-000420/.txt
1,4504,4504.0,1,821699/0000810117-98-000020/.txt
1,6922,6922.0,1,1276445/0001140361-11-057401/-index.htm
1,7057,7057.0,1,1120370/0001104659-09-041010/a09-17284_3144.htm
1,7519,7519.0,1,1284660/0000104918-16-000175/-index.htm
1,2346,2346.0,1,1615992/0001104659-15-046997/.txt
1,2762,2762.0,1,1464591/0001047469-14-000630/-index.htm
1,81735,81735.0,1,729580/0000905718-98-000283/.txt
1,43205,43205.0,1,21267/0000021267-00-000017/.txt
1,13366,13366.0,1,920424/0000950123-97-007641/.txt
1,2834,2834.0,1,108385/0001181431-08-033697/-index.htm
1,48976,48976.0,1,808064/0000312069-06-000036/.txt
1,735,735.0,1,904548/0000904548-15-000004/gtm.start
1,673,673.0,1,792987/0001140361-14-024248/xslF345X03/doc1.xml
1,4048,4048.0,1,1354457/0001354457-07-000085/.txt
1,3585,3585.0,1,798949/0001225208-15-011682/doc4.xml
1,2821,2821.0,1,21665/0001305508-08-000110/-index.htm
1,3770,3770.0,1,926326/0001179110-09-002242/xslF345X03/edgar.xml
1,2665,2665.0,1,773840/0000950117-09-000401/.txt
1,1347,1347.0,1,1505462/0001505462-10-000002/.hdr.sgml
1,4654,4654.0,1,4447/0001209191-08-024822/xslF345X02/doc4.xml
1,6553400,6553400.0,1,1222244/0001144204-12-045385/.txt
1,4093,4093.0,1,27996/0001218164-08-000033/xslF345X02/edgar.xml
1,2398,2398.0,1,21031/9999999997-06-009884/.txt
1,1024045,1024045.0,1,310522/0000310522-15-000104/.txt
1,3095,3095.0,1,75176/0000075176-08-000020/-index.htm
1,1821,1821.0,1,315293/0001179110-08-006189/edgar.xml
1,7263,7263.0,1,93676/0001193125-05-183176/dex31a.htm
1,15618,15618.0,1,1076167/0000947871-03-000428/.txt
1,1832481,1832481.0,1,1046778/0000950134-97-007026/.txt
1,1551,1551.0,1,1287865/0000950144-06-003009/g00476exv23w2.txt
1,4404,4404.0,1,1294808/0000950123-07-012078/y38847fe8vk.htm
1,17072,17072.0,1,1517228/0001193125-14-200114/d726182d8k.htm
1,7472,7472.0,1,1649347/0001209191-16-091057/-index.htm
1,9999,9999.0,1,17283/0000017283-02-000573/.txt
1,399888,399888.0,1,35692/0000035692-99-000004/.txt
1,897173,897173.0,1,72971/0001193125-10-251530/.txt
1,2753,2753.0,1,715072/0001209191-15-057883/.txt
1,915217,915217.0,1,719722/0000898430-02-000167/.txt
1,13733,13733.0,1,790708/0000950123-99-007886/.txt
1,113181,113181.0,1,794367/0001193125-15-392007/.txt
1,644,644.0,1,859607/0001193125-14-346414/.txt
1,10643,10643.0,1,1162475/0001140003-02-000012/.txt
1,36347,36347.0,1,862923/0000950133-99-002751/.txt
1,429647,429647.0,1,895421/0000950103-11-003221/.txt
1,5559,5559.0,1,1002761/0001193125-14-124284/d697331dex351.htm
1,6500,6500.0,1,903571/0001193125-07-270447/.txt
1,6848,6848.0,1,1066107/0001066107-07-000009/.txt
8931,23563923,2638.44,8669,77776/9999999997-17-007287/-index.htm
8932,24110678,2699.36,8593,1386278/9999999997-17-007284/-index.htm
8932,99534944,11143.63,8778,1508900/0000899243-17-017481/-index.htm
8937,13650937,1527.46,8895,732717/9999999997-17-007269/.txt
8938,8940557,1000.29,8898,1000177/9999999997-17-007271/.paper
8944,38302847,4282.52,4791,1053092/0000950103-17-006173/-index.htm
8946,99542337,11127.02,8784,1508902/0000899243-17-017481/-index.htm
8947,26636450,2977.14,8802,707388/0000707388-17-000021/-index.htm
8955,8954974,1000.0,8926,1644963/9999999997-17-007273/.paper
8960,8968932,1001.0,8929,1531031/9999999997-17-007274/.paper
8962,62332546,6955.2,5457,1662888/0000899243-17-017265/.txt
8968,13317923,1485.05,8925,1000177/9999999997-17-007271/.txt
8971,8970223,999.91,8937,1442836/9999999997-17-007272/.paper
8972,8907076,992.76,8936,732717/9999999997-17-007275/.paper
8978,38897395,4332.52,4743,1053092/0000950103-17-006170/-index.htm
8988,30856510,3433.08,8785,789132/0000950157-17-000997/-index.htm
8993,38790420,4313.4,4529,1114446/0001114446-17-004266/-index.htm
