data,hits,visitors
189.18.222.fca,1,1
202.52.248.jde,1,1
50.74.103.jhd,1,1
77.109.39.aef,1,1
41.66.202.hdj,1,1
50.242.226.cci,1,1
185.95.206.dea,1,1
76.94.109.bjg,1,1
89.144.15.jhd,1,1
176.44.74.ijh,1,1
68.180.100.fjf,1,1
62.173.113.gfj,1,1
31.211.122.dda,1,1
106.222.34.bid,1,1
67.227.77.abf,1,1
39.90.50.fbd,1,1
71.126.133.hgj,1,1
217.79.247.fbb,1,1
178.18.246.beh,1,1
27.111.71.aef,1,1
78.88.114.dif,1,1
77.132.192.ajc,1,1
88.164.216.gch,1,1
97.45.65.fie,1,1
196.142.115.hah,1,1
176.221.219.jje,1,1
74.58.241.eca,1,1
112.224.67.jdi,1,1
217.18.247.hbc,1,1
68.2.163.hgj,1,1
122.15.60.hgh,1,1
178.188.112.bff,1,1
67.207.165.aca,1,1
106.51.141.ddh,1,1
71.84.206.ijh,1,1
173.191.251.bgd,1,1
67.129.162.gig,1,1
202.51.69.jde,1,1
104.168.24.chj,1,1
118.242.40.ced,1,1
134.30.9.hji,1,1
104.222.140.cgg,1,1
24.17.61.hie,1,1
154.59.142.hji,1,1
162.248.195.ejd,1,1
121.234.32.fcf,1,1
47.185.75.ach,1,1
68.153.152.eaj,1,1
70.214.37.ahb,1,1
178.215.206.haf,1,1
101.96.115.gfj,1,1
12.106.229.gig,1,1
197.231.149.fih,1,1
216.164.200.aje,1,1
47.183.199.dif,1,1
54.188.140.jdj,1,1
112.211.14.jcd,1,1
100.38.108.fcf,1,1
71.196.33.beh,1,1
172.80.97.abc,1,1
124.104.40.bhj,1,1
98.173.6.ijh,1,1
207.237.110.efc,1,1
165.225.72.igh,1,1
69.142.240.cic,1,1
119.145.10.fca,1,1
208.59.145.bij,1,1
67.203.3.aej,1,1
88.234.153.abb,1,1
206.165.127.ech,1,1
173.70.85.cib,1,1
201.217.135.dad,1,1
100.1.2.djc,1,1
174.24.44.iah,1,1
143.111.84.fdi,1,1
94.100.229.ebi,1,1
205.225.157.jbj,1,1
173.162.210.hbf,1,1
173.244.48.acc,1,1
104.232.175.fjf,1,1
63.223.118.abf,1,1
23.105.159.ihd,1,1
64.64.126.ijh,1,1
210.4.170.fjb,1,1
208.115.116.abh,1,1
206.80.114.fdi,1,1
108.62.69.gfj,1,1
196.152.200.djc,1,1
18.189.9.bhj,1,1
54.245.144.eef,1,1
65.74.113.bjh,1,1
189.148.76.beg,1,1
47.152.29.caf,1,1
100.38.72.baj,1,1
38.122.30.jic,1,1
77.100.207.bgd,1,1
24.40.95.ehg,1,1
165.225.64.hdj,1,1
113.210.51.eci,1,1
107.167.107.jid,1,1
23.239.166.ffb,1,1
89.144.51.ebc,1,1
47.153.183.gif,1,1
204.40.194.bbb,1,1
178.192.3.hdj,1,1
66.64.62.ijh,1,1
64.47.45.hce,1,1
212.52.131.ahg,1,1
82.69.218.fec,1,1
64.120.109.cef,1,1
47.210.73.ceb,1,1
89.255.245.gae,1,1
75.128.122.bbb,1,1
142.217.130.jfg,1,1
75.112.15.jfd,1,1
192.3.124.idh,1,1
187.19.183.jeh,1,1
187.190.15.fbb,1,1
68.227.109.gcd,1,1
73.185.17.fjf,1,1
64.56.89.fgd,1,1
66.182.95.eff,1,1
68.150.34.jij,1,1
35.185.242.jbj,1,1
223.191.16.ahg,1,1
204.145.237.jfc,1,1
107.167.103.aab,1,1
50.206.139.fgi,1,1
23.19.240.hhg,1,1
117.205.201.aej,1,1
64.202.88.bid,1,1
27.63.158.efc,1,1
38.100.225.iji,1,1
108.56.184.ceb,1,1
23.239.162.cej,1,1
100.15.215.dad,1,1
209.183.164.jdd,1,1
109.245.214.gii,1,1
217.79.251.aed,1,1
108.236.88.gai,1,1
64.4.93.ahb,1,1
94.76.12.bhj,1,1
42.111.43.aie,1,1
173.8.153.ehg,1,1
190.194.92.gcd,1,1
223.225.244.gcd,1,1
24.255.118.jhf,1,1
82.192.95.fhg,1,1
174.221.128.hee,1,1
152.231.120.efi,1,1
66.41.234.bic,1,1
71.212.4.cic,1,1
24.90.100.jhf,1,1
69.178.183.gif,1,1
82.137.15.igg,1,1
66.87.72.agj,1,1
114.125.38.dda,1,1
70.53.116.jcf,1,1
107.150.118.aej,1,1
111.207.17.gcd,1,1
147.75.208.bic,1,1
47.185.166.hgb,1,1
128.239.137.dbe,1,1
65.52.32.fgg,1,1
208.72.118.eci,1,1
173.241.25.jcd,1,1
205.168.243.agj,1,1
67.191.223.ede,1,1
8.40.182.igh,1,1
183.90.36.fjf,1,1
73.166.79.gge,1,1
195.214.175.eda,1,1
54.218.22.ajg,1,1
109.159.110.ihf,1,1
2.84.29.eja,1,1
69.12.108.aah,1,1
173.31.199.hjf,1,1
158.106.67.fib,1,1
182.69.219.bhf,1,1
63.223.124.idh,1,1
173.8.91.jjh,1,1
73.179.229.aji,1,1
96.64.229.hhi,1,1
124.191.71.bcf,1,1
103.192.36.bbb,1,1
100.6.64.hgb,1,1
193.19.119.jda,1,1
202.183.128.fdh,1,1
202.51.124.cac,1,1
23.239.166.hgh,1,1
178.140.98.jbh,1,1
165.225.98.dbe,1,1
140.206.89.cje,1,1
143.202.155.ide,1,1
200.212.79.eja,1,1
81.5.83.fad,1,1
70.133.223.fgd,1,1
71.211.96.gii,1,1
207.219.201.bhg,1,1
101.100.181.fec,1,1
71.202.140.cib,1,1
168.215.121.jdd,1,1
66.90.235.dad,1,1
24.185.28.fgg,1,1
