data,hits,visitors
921503/0001103132-05-000051/mit8kb05.htm,1,1
1432315/0001432315-08-055355/primary_doc.xml,1,1
86115/0000912057-97-011169/EX-10.11,1,1
50104/0000950123-11-020449/-index-headers.html,1,1
930548/0000905148-99-000541/T;%5cEDGAR%5c176583.TXT,1,1
1296346/0000905148-05-002000/R1.htm,1,1
51143/0000950157-94-000064/-index-headers.html,1,1
1378849/0001056404-07-001248/R1.htm,1,1
39899/0000901309-02-000135/-index-headers.html,1,1
703351/0000703351-16-723567/primary_doc.xml,1,1
51143/0000950157-98-000062/-index-headers.html,1,1
912046/0000950123-06-003660/R1.htm,1,1
1326364/0000000000-13-070773/-index-headers.html,1,1
77543/0001193125-05-236646/-index-headers.html,1,1
1624804/0001624804-14-011728/primary_doc.xml,1,1
1673301/0001673301-16-007008/primary_doc.xml,1,1
1596532/0001596532-17-000019/anet-20161231x10k.htm,1,1
51143/0001181431-04-049837/-index-headers.html,1,1
1429788/0001085146-15-001447/gtm.start,1,1
1064011/0000950144-08-008685/R1.htm,1,1
51143/0001181431-08-050771/-index-headers.html,1,1
7323/0000065984-16-000609/gtm.js,1,1
904548/0000904548-12-000004/gtm.start,1,1
1438421/0001609351-17-000060/wf-form4_149807781707901.html,1,1
65984/0000065984-17-000039/gtm.start,1,1
38074/0001293301-08-000051/-index-headers.html,1,1
74691/0000950109-01-000804/0002.txt,1,1
1017918/0001017918-01-500029/-index-headers.html,1,1
880266/0001140361-12-040479/-index-headers.html,1,1
1131457/0001193125-11-073035/merchant-offer-2007-03-25.shtml,1,1
1448064/0001193125-10-230025/R1.htm,1,1
1525221/0000902219-16-000773/gtm.js,1,1
888530/0000888530-16-000041/gtm.js,1,1
82166/0000082166-17-000074/wf-form4_149617328320193.html,1,1
1253488/9999999997-13-003687/.txt,1,1
1018724/0001217831-03-000045/-index-headers.html,1,1
107693/0001564590-16-022089/novt-20160701.xml,1,1
777001/0000914121-04-002018/-index-headers.html,1,1
56978/0000056978-17-000077/Financial_Report.xlsx,1,1
1232549/0000950149-04-000714/R1.htm,1,1
932470/0001104659-09-040413/R1.htm,1,1
23082/0000023082-05-000063/-index-headers.html,1,1
836687/0000836687-09-000331/-index-headers.html,1,1
914374/0000950123-08-004270/-index-headers.html,1,1
896156/0001104659-15-081137/gtm.js,1,1
912505/0001104659-09-037195/R1.htm,1,1
1360901/0001209191-16-137618/gtm.js,1,1
840489/0000840489-17-000073/R10.htm,1,1
716054/0001021408-01-505385/-index-headers.html,1,1
31462/0001104659-09-060478/-index-headers.html,1,1
1528849/0001181431-12-056197/-index-headers.html,1,1
81364/0001552781-16-001662/czbs-20160331.xml,1,1
1243443/0001193125-08-208255/.txt,1,1
813828/0000813828-07-000295/red289.html,1,1
1358307/0001129068-07-000068/R1.htm,1,1
1103076/0001193125-08-012516/R1.htm,1,1
870760/0000898430-01-000093/0009.txt,1,1
1541401/0001209191-17-022046/gtm.js,1,1
320351/0000320351-96-000034/-index-headers.html,1,1
1390329/0001013762-10-001979/R1.htm,1,1
1231339/0001121781-09-000549/R1.htm,1,1
1525221/0001525221-17-000004/gtm.start,1,1
1464423/0001047469-10-002075/-index-headers.html,1,1
1675660/0001675660-16-000002/primary_doc.xml,1,1
69999/0000069999-00-000015/0002.txt,1,1
1089590/0001144204-04-004545/R1.htm,1,1
1353254/0001140361-17-020756/primary_doc.html,1,1
777001/0000914121-04-001770/-index-headers.html,1,1
1422971/0001463403-10-000097/.hdr.sgml,1,1
1407539/0000950123-10-102256/R1.htm,1,1
1171662/0000000000-08-047514/-index-headers.html,1,1
884318/0000891618-00-001705/EX-10.7,1,1
320351/0000708191-13-000038/-index-headers.html,1,1
39899/0001193125-12-119818/-index-headers.html,1,1
44800/0000928385-00-003076/0002.txt,1,1
1377841/0001056404-07-001195/R1.htm,1,1
1469395/0001292814-16-004448/R1.htm,1,1
33185/0001225208-17-007407/gtm.start,1,1
71431/0000714310-17-000087/vly-20161231.xml,1,1
880224/0001193125-16-524772/R1.htm,1,1
1453687/0001638599-17-000662/xslF345X03/a4.xml,1,1
760719/0000950147-97-000173/.txt,1,1
137045/0001558370-16-007387/wldn-20160701.xml,1,1
1607082/0001607082-17-000012/Financial_Report.xlsx,1,1
47035/0000047035-01-000002/0002.txt,1,1
1222218/0001103132-05-000051/mit8kb05.htm,1,1
46043/0001009448-01-000003/0013.txt,1,1
904548/0001104659-15-082264/gtm.start,1,1
1006045/0000891618-01-000261/.tx,1,1
1302834/0001214659-06-000612/R1.htm,1,1
1660134/9999999995-17-000751/primary_doc.html,1,1
1281922/0001181431-12-052384/-index-headers.html,1,1
51143/0001181431-03-019134/-index-headers.html,1,1
914374/0001209191-12-006081/-index-headers.html,1,1
1650664/0000899243-16-028807/gtm.js,1,1
740761/0000740761-08-000053/primary_doc.html,1,1
708819/0001241921-11-000007/-index-headers.html,1,1
1164888/0001116502-07-001474/R1.htm,1,1
1018724/0001359804-10-000061/-index-headers.html,1,1
1063997/0001209191-07-002602/doc5.html,1,1
708819/0001157523-05-002795/-index-headers.html,1,1
1490281/0001047469-11-007178/morgan.consult.2000.07.28.shtml,1,1
840458/0000908834-97-000228/.txt,1,1
902600/0000950131-00-005022/0003.txt,1,1
1376139/0001376139-17-000031/primary_doc.xml,1,1
51143/0001181431-13-005940/-index-headers.html,1,1
799088/0001359043-09-000006/primary_doc.html,1,1
1580732/0001193125-14-056089/godshalk-director-2007-04-04.shtml,1,1
792861/0000950131-00-004221/0007.txt,1,1
33185/0001225208-17-005275/gtm.js,1,1
1602706/0001144204-17-020757/Financial_Report.xls,1,1
1022408/0001019973-16-000021/gtm.js,1,1
800459/0000800459-00-000007/0005.txt,1,1
735571/0000735571-06-001163/primary_doc.xml,1,1
1116581/0001116581-06-000013/R1.htm,1,1
728478/0000728478-11-002796/primary_doc.xml,1,1
1100389/0001193125-05-070196/remington-venture-2003-05-15.shtml,1,1
84129/0000950172-00-001127/0019.txt,1,1
51143/0001181431-08-055136/-index-headers.html,1,1
726509/0001193125-12-159051/d299628d485bpos.htm.pin,1,1
65984/0000065984-17-000077/gtm.js,1,1
1116548/0001116548-14-000004/R1.htm,1,1
882509/0001362310-09-001462/R1.htm,1,1
921864/0000839947-05-000038/R1.htm,1,1
1671604/0001671604-17-000311/primary_doc.xml,1,1
51143/0001181431-04-033434/-index-headers.html,1,1
827164/0001092388-00-000842/0002.txt,1,1
